County,Year,Total_Population,Median_Income,White_Perc,Poverty_Perc,Uninsured_Perc,Asthma_Incidents,Asthma_Rate,Acres_Burned,Duration,Wildfire_Count
Riverside,2013,2411439.0,28557.0,0.35319242991425454,0.1348899972174291,0.07434357659472207,5541,32.5,53919.0,36 days,19.0
Riverside,2014,2411439.0,28557.0,0.35319242991425454,0.1348899972174291,0.07434357659472207,5668,33.6,630.0,4 days,6.0
Riverside,2015,2411439.0,28557.0,0.35319242991425454,0.1348899972174291,0.07434357659472207,6194,35.7,1928.0,21 days,7.0
Riverside,2016,2411439.0,28557.0,0.35319242991425454,0.1348899972174291,0.07434357659472207,5645,32.7,1822.0,10 days,4.0
Riverside,2017,2411439.0,28557.0,0.35319242991425454,0.1348899972174291,0.07434357659472207,6145,35.3,16576.0,8812 days,52.0
Riverside,2018,2411439.0,28557.0,0.35319242991425454,0.1348899972174291,0.07434357659472207,5626,31.7,15615.0,4839 days,25.0
Riverside,2019,2411439.0,28557.0,0.35319242991425454,0.1348899972174291,0.07434357659472207,5897,32.9,6872.0,83 days,33.0
Sacramento,2013,1524553.0,32275.0,0.44723207392593106,0.14477227095417478,0.04705969553042761,6532,59.5,163.0,0 days,1.0
Sacramento,2015,1524553.0,32275.0,0.44723207392593106,0.14477227095417478,0.04705969553042761,6824,61.7,110.0,0 days,1.0
Sacramento,2016,1524553.0,32275.0,0.44723207392593106,0.14477227095417478,0.04705969553042761,6128,54.7,159.0,2 days,3.0
Sacramento,2017,1524553.0,32275.0,0.44723207392593106,0.14477227095417478,0.04705969553042761,6960,61.9,1389.0,585 days,3.0
Sacramento,2018,1524553.0,32275.0,0.44723207392593106,0.14477227095417478,0.04705969553042761,6809,59.6,30.0,189 days,1.0
Sacramento,2019,1524553.0,32275.0,0.44723207392593106,0.14477227095417478,0.04705969553042761,6315,54.2,134.0,0 days,2.0
San Benito,2013,,,,,,196,49.4,354.0,0 days,1.0
San Benito,2015,,,,,,170,40.9,695.0,4 days,2.0
San Benito,2016,,,,,,148,36.8,445.0,4 days,4.0
San Benito,2017,,,,,,202,48.6,102.0,466 days,3.0
